 Employee ID ,Name ,Age,Salary ,City,Department,Join Date,Email
0,Jack,30,"60,000", Nairobi ,,not_a_date,
,Al!ce,27,50000,nakuru,Sales,not_a_date,
2,,200,"60,000",kisumu,sales,2024/13/01,test@example.com
3, Alice ,25,KES 80000,kisumu,,05/01/2024,
4,Al!ce,200,KES 80000,kisumu,Finance,05/01/2024,USER@MAIL.COM
,Eve,25,KES 80000, Nairobi ,HR,2024/13/01,test@example.com
6,,,,kisumu,IT,2024/13/01,
,Ivy,,,nairobi,,05/01/2024,
,,45,"60,000",,sales,not_a_date,
9,Al!ce,45,,eldoret,Finance,not_a_date,test@example.com
, Alice ,unknown,,eldoret,HR,05/01/2024,
11, Alice ,27,,kisumu,,,bademail
12,Henry,unknown,,nairobi,,,USER@MAIL.COM
13,Grace,25,KES 80000,,hr,,
,Frank,,"60,000",nairobi,Finance,not_a_date,
15,Al!ce,27,,MOMBASA,HR,05/01/2024,
16, Alice ,30,50000,nairobi,,05/01/2024,bademail
17,Eve,30,,MOMBASA,Finance,2024/13/01,test@example.com
18,CHARLIE,unknown,,MOMBASA,IT,2024/13/01,
19,Henry,200,50000,nairobi,IT,not_a_date,bademail
,Al!ce,27,"60,000", Nairobi ,IT,,USER@MAIL.COM
, Alice ,27,50000,eldoret,HR,05/01/2024,USER@MAIL.COM
,,,,kisumu,,05/01/2024,
23,Grace,-5,,eldoret,Sales,2024/13/01,USER@MAIL.COM
24, Alice ,unknown,50000, Nairobi ,IT,2024/13/01,USER@MAIL.COM
,Jack,unknown,75000.5,nairobi,Sales,,USER@MAIL.COM
,CHARLIE,25,KES 80000,kisumu,Finance,05/01/2024,USER@MAIL.COM
,Jack,27,KES 80000, Nairobi ,,2024/13/01,
, Alice ,-5,,eldoret,IT,05/01/2024,USER@MAIL.COM
29,Frank,45,"60,000",eldoret,hr,2024/13/01,test@example.com
,Ivy,-5,,nakuru,hr,05/01/2024,test@example.com
31,CHARLIE,45,75000.5,kisumu,IT,2024/13/01,
